Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,643,Russian Federation,RUS,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2845897994,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,646,Rwanda,RWA,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,31207,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,652,Saint Barthélemy,BLM,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,44,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,674,San Marino,SMR,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,2093176,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,678,Sao Tome and Principe,STP,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,82243,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,682,Saudi Arabia,SAU,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,179097372,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,686,Senegal,SEN,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,802327,,,0
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,688,Serbia,SRB,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,293435394,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,690,Seychelles,SYC,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,1172,,,4
H5,2019,2019,2019,2,0,1,Import,97,EU,EU2,694,Sierra Leone,SLE,,,,,,,,76,Aluminium and articles thereof,1,No Quantity,0,,,,0,,94628,,,0
